Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000
ЗП,,,,,,10000.0,,,,28000.0,,,,,,,,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,746.0,425.0,2152.0,1616.0,450.0,980.0,8139.0,1884.0,3915.0,13987.0,403.0,521.0,1065.0,6792.0,4924.0,0.0,2657.0,448.0,3200.0,1002.0,0.0,57.0,875.0,400.0,0.0,0.0,0.0,0.0,0.0,1257.0,0.0,57895
Квартира,,,,,,,,,,786.0,,,,3350.0,,,,,,,,,,,,,,,,,,4136
Долги/ОЧ,,,,,,,,,,6200.0,,,,,,,,,,,,,,,,,,,,,,6200
Алкоголь,,,,,,350.0,,47.0,,,105.0,,,,,,,,,,,,,,,,,,,,,502
Зв'язок/інтернет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Таксі/поїздки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Подарунки,,,320.0,,,,,,,,,,414.0,,,,,,,,,,,,,,,,,,,734
ХАРЧУВАННЯ,285.0,125.0,775.0,416.0,450.0,445.0,560.0,956.0,435.0,469.0,298.0,132.0,565.0,420.0,4370.0,0.0,36.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11027
Вулична їжа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Продукти,,125.0,775.0,263.0,450.0,445.0,560.0,956.0,285.0,270.0,298.0,132.0,215.0,170.0,4370.0,,36.0,,,,,,,,,,,,,,,9350
Кафе,285.0,,,153.0,,,,,150.0,199.0,,,350.0,250.0,,,,290.0,,,,,,,,,,,,,,1677
Доставка води,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
КАВА,0.0,0.0,57.0,0.0,0.0,0.0,0.0,160.0,100.0,60.0,0.0,0.0,0.0,57.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,661
Кава (на вулиці),,,,,,,,160.0,,,,,,57.0,,,115.0,,,,,57.0,,,,,,,,55.0,,444
Кава (вдома),,,57.0,,,,,,100.0,60.0,,,,,,,,,,,,,,,,,,,,,,217
Ігри,140.0,,,,,185.0,,228.0,,424.0,,,86.0,,,,866.0,158.0,,225.0,,,595.0,400.0,,,,,,1047.0,,4354
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,,,,,,186.0,,,,,,414.0,,,,,,,,200.0,,,,,,,,,,,,
НА СЕБЕ,321.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,230.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684
Стрижка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Одяг,,,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,,750
Медицина,256.0,,,,,,,,230.0,,,139.0,,,,,,,,,,,,,,,,,,,,625
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,65.0,,,,,,,244.0,,,,,,,,,,,,,,,,,,,,,,,,309
Спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Побутова техника,,,1000.0,1200.0,,,5060.0,,2500.0,,,,,1430.0,,,,,3200.0,,,,,,,,,,,,,14390
Без категории,,,,,,,,249.0,,,,,,950.0,,,,,,,,,,,,,,,,,,1199
ІНШЕ,0.0,300.0,0.0,0.0,0.0,0.0,2519.0,0.0,650.0,6048.0,0.0,250.0,0.0,585.0,554.0,0.0,890.0,0.0,0.0,777.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,13008
Податки 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,6048.0,,,,,,,,,,,,,,,,,,,,,,6048
Тварини,,300.0,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,450
Книги,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,250
Хобби,,,,,,,1519.0,,,,,,,585.0,554.0,,,,,777.0,,,280.0,,,,,,,,,3715
Aliexpress,,,,,,,1000.0,,500.0,,,,,,,,,,,,,,,,,,,,,,,1500
Сигарети,,,,,,,,,,,,,,,,,890.0,,,,,,,,,,,,,155.0,,1045
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
